"","x31_0143","x33_0279","x41_0311","x42_0018","x42_0269","x43_0113","x43_0466","x44_0074","x44_048","x44_9901","x45_0267","x46_0234","x47_008","x47_0436","x48_0483","x49_0094","x49_9987","x51_0211","x51_0426","x51_9403","x51_995","x52_0309","x52_9408","x53_0026","x53_0389","x53_9398","x54_0354","x55_9351","x56_0616","x57_0368","x57_0702","x57_9355","x58_0351","x58_0732","x59_0502","x59_931","x59_9659","x60_0487","x61_029","x61_9285","x62_0266","x62_9299","x62_9637","x63_003","x63_0395","x63_9807","x64_039","x65_0236","x65_0586","x66_0429","x66_0549","x67_0546","x68_0521","x69_0363","x69_0701","x70_0701","x71_05","x71_0839","x71_933","x72_049","x72_0863","x72_9381","x73_0648","x73_9425","x74_0255","x74_0638","x75_0447","x75_9465","x76_0468","x76_9445","x77_0593","x77_942","x78_0469","x79_0538","x79_9397","x80_0548","x80_9916","x81_0702","x82_0713","x82_9456","x82_9889","x83_0545","x83_0845","x84_0501","x84_084","x84_9621","x85_0334","x85_063","x85_0981","x85_9488","x86_0611","x87_0464","x87_9451","x88_05","x88_0714","x88_9537","x89_0594","x89_9469"
"x31_0143",1,0.793053383725164,0.206098714342238,0.095900787588395,0.371099223780188,0.785692411166054,0.725487079086277,0.547167732394235,0.7263937091307,0.0480350812926797,0.43230573061165,0.497694858060859,0.267097481157228,0.760046995020674,0.768019433200515,0.65692893442039,-0.0212416353763923,0.528414530220179,0.76836259689072,0.0463140695311774,0.357189080349278,0.414968593728267,0.072663297706488,0.496529734178737,0.709176352224356,0.079556848353709,0.381749213096761,0.0461957323750207,0.0789025503663835,0.483571928641309,0.0207231696681914,0.120083949694852,0.690398686616534,0.0277880454918231,0.823412923995705,0.295633134330655,0.272462866420898,0.839723438718336,0.64474306889418,0.30108206513655,0.7933469498718,0.153822836310376,0.183801315180804,0.371739957774191,0.556725654127011,0.392925683624153,0.496880412354909,0.742640868862346,0.733641254931576,0.468589732268623,0.676418397076151,0.594152816813339,0.6086404770352,0.591751675158807,0.560408637649569,0.589676801516078,0.767305352832127,0.461116475183572,0.270521570725945,0.784956861037427,0.504502320701552,0.233242781018806,0.750407624054608,0.0764489592995703,0.584015098643131,0.536536762766622,0.567503851382114,0.149285395191444,0.547332248457903,0.246381091197537,0.811070256462742,0.0846489720522302,0.623879379605853,0.384163972653889,0.0731516533937331,0.439458905582345,0.321996159119019,0.60827158590765,0.58715194451655,0.318090606509814,0.527454357482873,0.620368812854267,0.496021937946495,0.63206441220833,0.623629368530301,0.304486098513045,0.71284064335868,0.765514512184174,0.424431543136044,0.17425881426455,0.378687665244166,0.827111554679357,0.245718419330546,0.619945002701434,0.764211877466784,0.204999023636266,0.502655864002469,0.118886434244414
"x33_0279",0.793053383725164,1,0.118896414990964,-0.150791898040462,0.431859561831607,0.707204804422813,0.591697592233975,0.261228770677566,0.553300601195447,0.244245422141323,0.141804434205331,0.188536727935655,-0.0324037757490867,0.69451901135979,0.681455847888073,0.603231704539303,0.196150762599632,0.316506433581376,0.975744539822564,-0.173707471637914,0.200332610899412,0.435476587548308,-0.158950046593641,0.403686807926958,0.617750715519843,-0.164232643037958,0.421586171181003,-0.153921275582591,0.0250987251784381,0.379594094594703,-0.0322817950433769,0.0333322353703703,0.548051519914865,-0.0269324074638696,0.76670078368501,0.237644462627531,0.279969197288396,0.71098745229118,0.550566249821594,0.231474273362452,0.719253723338851,0.103225729701956,0.14995454949578,0.379847873647973,0.297810590733184,0.431837780459796,0.296191009530421,0.537125674945384,0.677005356003533,0.366606151727692,0.581570954451644,0.401743560190515,0.394566721151237,0.465040595015923,0.312049963239655,0.337499916859992,0.548894656993328,0.202479783443856,-0.0019090005742318,0.553065070786642,0.242765705304312,-0.0152155134004553,0.70216022541659,-0.172410912948835,0.406868679313723,0.525131935669353,0.347783066444402,0.157639941298076,0.31824941039841,0.13643915852497,0.746422359122615,0.0835406880471381,0.536948924193927,0.166443210170031,0.0076646818734385,0.224775699148872,0.329099265260618,0.456745978336215,0.414819177221521,0.332005534896473,0.469781225563082,0.456062848932299,0.241691266743988,0.396671912178521,0.387267078134913,0.352266475897038,0.517975954186013,0.562005250080376,0.154052312356546,-0.0847538862947627,0.0825502059565352,0.669156903022667,0.0629205239906946,0.350320621503713,0.60372050392776,-0.0579226993633245,0.47759829257318,-0.117286151979848
"x41_0311",0.206098714342238,0.118896414990964,1,-0.0389476782735737,0.0976982356912251,0.0352625855604362,0.0737396521409811,0.07334819319862,0.0595337541497063,0.0970968284704485,-0.0088513592468581,0.0819686554594219,0.0166881446012774,-0.0185209782640173,-0.0207898462788094,-0.0654889828111602,0.0585159133593126,0.0178491504027597,0.0984982668762154,-0.0382738494712715,-0.0153276536688569,0.0767407144849549,-0.084237738104449,0.768098780983465,0.120718025921015,-0.0385823491787116,0.0743390137535824,-0.00727590383383318,0.981166025624024,-0.388273925363197,0.972660844958909,0.42859008584205,0.622917395194179,0.974076671624648,0.136112556715979,-0.015047129069461,0.211076447636602,0.121320989371813,0.000749987011720427,-0.0859344242020213,-0.0286142162344539,-0.080727555730601,0.0103277067739031,0.0635534460198822,-0.0104212656612805,7.8965793961503e-05,-0.060851411548836,0.0605062177781378,0.0037121582224184,0.0692994641661578,-0.0162585172318651,0.0241937381755598,-0.00167223680111388,0.0540081253752537,-0.0236548854412901,0.0245642179295647,0.058724360321964,0.00541833399689547,-0.0506494807463167,0.114447952302913,0.0201765945589143,-0.0100504263898628,0.0093655083781227,-0.0562657060481385,0.0627765154858251,0.0546330308768078,0.02267012547224,0.0561596857484863,0.00499551069115296,-0.0938907900962293,0.066739719809549,-0.0417092784098485,0.0304028812960533,-0.0214986875134217,-0.0891638771392546,-0.0339827659585601,0.0160228308747266,-0.0673128004668473,-0.0773677557827309,0.0688430329934853,0.114316323437969,0.048509169802832,-0.0325382390112901,0.00984365076442986,-0.0260593289919125,0.125784125967581,0.105281633156234,0.038211650390077,-0.0040492484202262,-0.081336154136026,-0.00121186490063869,0.0800811685318948,-0.122233265382388,-0.00612104836274563,0.0224850187520955,-0.0439910273938069,-0.0213807500546342,-0.0825021168666547
"x42_0018",0.095900787588395,-0.150791898040462,-0.0389476782735737,1,-0.0019800929261029,0.141361627031781,0.348596706211342,0.75123851246346,0.447346734776567,-0.876385595423228,0.839993899508264,0.683480107072076,0.869446148507087,-0.0790467177691579,-0.0385648456065921,0.0470538001016065,-0.950112407699111,0.683683045859093,-0.131825104994218,0.852702017836036,0.0147618930839655,-0.542236225873805,0.77204483065534,-0.221426834266443,-0.0054916244827437,0.872521302535499,-0.025897730580083,0.748560998567039,-0.128456476073887,0.22208021643983,-0.0939596314473424,0.110527382470321,0.00445657590735476,-0.0870208232440254,-0.0841924823589246,0.0135460089382351,-0.462329742657255,0.222249634259345,0.306710900680931,0.073114558484305,0.0394381253677145,0.0165734233337025,-0.100629132821874,-0.0572138061440504,0.748491455696997,-0.422940954840016,0.467697246252929,0.344453656304365,-0.0709051646554879,0.0938764640058312,0.006063260353844,0.407909070541403,0.488940709419386,0.0928059348457296,0.714648772319119,0.650298778625749,0.399644423048339,0.74385614088165,0.69730807473134,0.477971632907302,0.71674642780758,0.845670848255691,0.0210247689088844,0.996564470199406,0.265119462406354,0.0700022958456147,0.721274120382309,-0.269886821347027,0.742998329919495,0.248368939841793,0.09635934592679,-0.233713958845018,-0.0320908491377478,0.720342524313362,0.127109473163453,0.667617896412845,-0.541556333263726,0.300240081120607,0.382674311518777,-0.132174682169498,-0.394120705288688,0.22647561596129,0.809787736022585,0.44012685287127,0.655362396216577,-0.393064547007134,0.277934365248371,0.361034072053652,0.811788294487665,0.937033398244178,0.869152922976742,0.169190563032169,0.501646351932073,0.68006386684118,0.243714769573592,0.906085015598938,0.150004323598773,0.820092193902457
"x42_0269",0.371099223780188,0.431859561831607,0.0976982356912251,-0.0019800929261029,1,0.302858391434499,0.2205004311923,0.225960673535533,0.203759504291592,0.0793186779303256,0.0899925610612333,0.171769834470897,0.0546008772126618,0.288966515545921,0.290618531597322,0.194986473227768,0.0534183297590541,0.145544588544306,0.392722989292983,-0.0257050680299162,0.200322451467194,0.152198244345191,-0.0333566593942655,0.17796526529161,0.198114690161504,-0.0259543368699745,0.0976078143333639,-0.0206202040789517,0.0684596894669637,0.0911165446186882,0.0443058399925673,0.0366727829909978,0.236582683551131,0.0455896120172937,0.479706170369464,0.174931006181922,0.143458969952879,0.577864103570362,0.238733729922056,0.119911697059049,0.253486405303312,0.058788745473844,0.073940399177982,0.0816245320292449,0.133048885268862,0.108340491536917,0.128051673683819,0.236482230664558,0.267611041866915,0.0976162239835563,0.201309601722153,0.105949885323932,0.0728719820859922,0.0468506871575327,0.0955575873674517,0.101366822377542,0.17036482984534,0.0512969027553091,0.0160863081154202,0.200711410967177,0.0653118183223775,0.016163774662829,0.195688436501649,-0.0388288983780289,0.248901431469435,0.272309365309958,0.141884794138271,0.0371485523430635,0.130631866763307,0.0469507820813293,0.389429917211123,0.0206549353780713,0.14648934432791,0.0582993474058898,-0.00774368221709696,0.0669594217827508,0.0596537315989363,0.182152622513635,0.135341606084856,0.29148582291934,0.121883564680415,0.0428692225457377,0.0754478189189927,0.0702758151946106,0.112060369047949,0.273640004200007,0.10696554820328,0.126888975564113,0.0600089463656102,-0.0200504201234518,0.0318964510812326,0.149529715790763,-0.0135616252943878,0.109546178304181,0.16742425457332,0.00947145633127227,0.217238863636332,-0.023561106308611
"x43_0113",0.785692411166054,0.707204804422813,0.0352625855604362,0.141361627031781,0.302858391434499,1,0.68401711304334,0.605373943063443,0.687739202308157,-0.0494731265954361,0.43451295160412,0.442688988152154,0.291033261389048,0.624658336772289,0.626186438849308,0.537554663656992,-0.0870953461683676,0.478334483026815,0.736774216895358,0.0802725459003787,0.268223952431662,0.251663013962151,0.0795023526373717,0.271527244413443,0.576544519051016,0.0978684842021749,0.481217667955147,0.0642492052796342,-0.0805880588365251,0.48622943066219,-0.122770253762691,0.0173694065722842,0.521363895517553,-0.116421003524849,0.711809398581255,0.250328326070974,0.0999778831802993,0.752222786678767,0.952630110496572,0.365371583644156,0.835863778915602,0.162406565868137,0.169282670329003,0.419262492749363,0.593934449503506,0.346955345740552,0.491972477879292,0.713132893614678,0.609956699045163,0.317536206341913,0.542803521616111,0.496643723661092,0.513337791181592,0.483573977474724,0.522891829684462,0.549111862831897,0.693945189902018,0.445339567386376,0.234344861148177,0.762751080488101,0.481915264668626,0.233737954347572,0.807020360227166,0.129936684453705,0.625876354377041,0.626758463132084,0.639739943009575,0.0788066797556673,0.614899945188829,0.230545770785309,0.805658665133323,0.00625190383791744,0.494124815016519,0.383520835783204,0.0519786138873568,0.411178349471095,0.127363568063462,0.500807143918638,0.487266763952899,0.218873157418374,0.320309445870574,0.515389759999067,0.483693443113751,0.558210352096596,0.575269719357725,0.154652135817971,0.637602508948441,0.702549570081822,0.42847150425342,0.169509477999054,0.39078198332136,0.759952222910876,0.189216307739846,0.640137234717805,0.728833020949565,0.263949836670449,0.893625432455904,0.152457378894861
"x43_0466",0.725487079086277,0.591697592233975,0.0737396521409811,0.348596706211342,0.2205004311923,0.68401711304334,1,0.558140863134131,0.984753767470309,-0.231839951858656,0.650274562207139,0.509510155232625,0.377706369646989,0.672824691231809,0.68862664803949,0.735104155348715,-0.30053006403308,0.788978089679282,0.619844814131479,0.230609992412625,0.0699298565865648,0.246103920508443,0.247413840330845,0.353611275102203,0.832733256012319,0.244696088665907,0.399001344467711,0.180991280916447,-0.112399202837295,0.608446282995122,-0.149744935740771,-0.0428297892203049,0.437246738318505,-0.142156379361314,0.621199223828874,0.137519846307958,-0.063498971428399,0.689882935835508,0.634447178693198,0.277876067809898,0.822149714304233,0.122032648060285,0.0975988360755338,0.374832389668524,0.764770122706725,0.232462294455416,0.604347096609151,0.671299978448162,0.655269852094646,0.7146979313943,0.73048991028664,0.896572604074186,0.848190996207312,0.664890078451783,0.851382407561909,0.880209758387562,0.833202714522128,0.806056450197394,0.414189045251642,0.795628453553981,0.825518059760923,0.378165356365449,0.743687197180209,0.336573048477076,0.409742620752418,0.504572725769938,0.742086849671525,-0.0280583197717389,0.726968448729038,0.349479832634073,0.739668760585558,-0.0371641393758914,0.753027353983917,0.653368755465422,0.120615028533194,0.697765498143101,0.154764565523379,0.832288234161678,0.816410101820059,0.229852346291544,0.219735785294151,0.730196071577759,0.786155147127179,0.699365294299857,0.872680792134868,0.10030107525517,0.600751583490813,0.821504486374364,0.739174429372978,0.439673368657979,0.591574776579991,0.751167008043993,0.411763119467886,0.667002313675383,0.802491727518883,0.391885064890183,0.494779850772484,0.309683793345923
"x44_0074",0.547167732394235,0.261228770677566,0.07334819319862,0.75123851246346,0.225960673535533,0.605373943063443,0.558140863134131,1,0.6428360720479,-0.575741619269493,0.851976352562975,0.861121530750724,0.890071723824401,0.188569067908118,0.221853882008527,0.180127815642532,-0.6271487024278,0.734038182040579,0.254530232210101,0.702635573312996,0.336391584786114,-0.137844943711398,0.587138644000182,0.0500257346030691,0.234614425843838,0.738594500082175,0.167623157986728,0.651875691835166,-0.0422389530862544,0.389391930265553,-0.0434394292410674,0.254407232294061,0.335723381804917,-0.0370402181404042,0.298031128405445,0.300131248981721,-0.111473759435964,0.569864107343885,0.699213064275631,0.238998898811287,0.387747098426131,0.0883033592395582,0.0420403992406651,0.15287960360068,0.833625606494382,-0.072524969578223,0.558983138998912,0.720330670501158,0.180387478640324,0.162159827203786,0.191938286048662,0.498562768614977,0.532508247660254,0.253369935718403,0.721506197097449,0.725605500996878,0.637055084960221,0.755027009471914,0.67264538062559,0.761295037697649,0.753462635816512,0.763409615121261,0.364646395578903,0.741242976512221,0.661001641917568,0.342719741382791,0.860773113856944,0.0148198712144963,0.853183403238938,0.225838713354064,0.406710034417477,-0.134269697772805,0.142582810822627,0.643396655745404,0.0457285743018443,0.599153485553026,-0.318837493288388,0.371752244214328,0.400720042280345,0.0474732890237559,-0.0652641449414819,0.366981972413585,0.762113419602088,0.575231596014437,0.683725020430932,-0.105699760278526,0.558999651632019,0.571666677535926,0.808742570126147,0.677565997346026,0.846723723110088,0.492016995576889,0.348803461303689,0.828321143865458,0.469708997161621,0.77705141140742,0.528194057060668,0.628699560438362
"x44_048",0.7263937091307,0.553300601195447,0.0595337541497063,0.447346734776567,0.203759504291592,0.687739202308157,0.984753767470309,0.6428360720479,1,-0.33170387595767,0.728282620469122,0.594400100171264,0.485532460917508,0.62803358561882,0.667272583196575,0.704480446912654,-0.407780388152404,0.836263085657193,0.587283856878372,0.286390244862852,0.132979128629252,0.228020556024463,0.391580120914939,0.345061514221944,0.781183831704001,0.324550493400023,0.383613473052207,0.216400881593558,-0.126077268349305,0.603702950838094,-0.158090969660852,-0.0567976435340815,0.441373776904166,-0.149312006541442,0.588144346859425,0.143651233549637,-0.0633846629841558,0.694791965866416,0.656561844354929,0.37805270733017,0.788230519254656,0.224993132981877,0.178793016224218,0.3513025441933,0.827030072976467,0.220030249164112,0.711460328148646,0.71655711773039,0.612725243380844,0.690174658378942,0.73400943680152,0.891187194978698,0.868318564980853,0.64405812688411,0.890331850944846,0.917044825435783,0.848985589801186,0.855368870511435,0.5473844682386,0.841453574913079,0.880413868027976,0.448010270519468,0.715851034265898,0.438358526218603,0.472260398118049,0.498786517136731,0.80644269180602,-0.0980127294464227,0.806543880247771,0.451398763021666,0.732071552575483,0.0286671289452378,0.727648945661314,0.69715624002667,0.222292040879858,0.745922681325924,0.137610719220236,0.817549334432959,0.830284834757682,0.212929944722879,0.230882200975677,0.724344379650554,0.842166952770351,0.768475070251904,0.914225516011192,0.0528735213400851,0.631793677436424,0.835366238940496,0.805170866193163,0.544150547647016,0.690866560616006,0.751108289460824,0.522331117643905,0.75684534245906,0.819158940492768,0.511267600243514,0.503274071809832,0.447880170043076
"x44_9901",0.0480350812926797,0.244245422141323,0.0970968284704485,-0.876385595423228,0.0793186779303256,-0.0494731265954361,-0.231839951858656,-0.575741619269493,-0.33170387595767,1,-0.708432661931015,-0.539070294960064,-0.744939805439018,0.168869270194682,0.110732645995811,0.0295202325638544,0.92164507739522,-0.554473761652668,0.193129212054503,-0.625686657169096,0.0690099826509189,0.618274124468864,-0.718328968726996,0.257597729758457,0.092701383212664,-0.627945340618911,0.0472432684032199,-0.485377835967821,0.161566438772462,-0.147177946881071,0.120184495534161,0.117165114611988,0.0622685466213857,0.113011783252797,0.188985306956471,0.190449253101752,0.480777525994133,-0.0864902613190139,-0.205480291015906,-0.130742963655548,0.0642039111839614,-0.128233507294769,0.00131976079045243,0.058210280729608,-0.628286784555511,0.421568273308299,-0.484111488803737,-0.277166516679977,0.145173939667004,-0.0193256558873118,0.000335703934749052,-0.296055072616744,-0.377130813076731,-0.00590350425619974,-0.578987380863133,-0.52134793589045,-0.283527392228374,-0.615573901800486,-0.582006442158545,-0.362552068639797,-0.595556436035851,-0.531643488334474,0.0473684777641191,-0.882281522833323,-0.219621164295539,-0.0111320097815501,-0.585718830440302,0.520043574667543,-0.627704485137625,-0.33431041091574,-0.0285020714408027,0.229951135958111,0.0563981402157,-0.613381020269613,-0.255971987291301,-0.580832121467955,0.474340217778535,-0.194313182200549,-0.29941986893025,0.171706050039924,0.367822490285018,-0.129334557265953,-0.673783644301475,-0.381166155985252,-0.53035730050601,0.43344581096297,-0.187467477348052,-0.248234111888512,-0.681981704559055,-0.830687529902916,-0.754965412116947,-0.0768903819276372,-0.506579922416854,-0.59256470966765,-0.162281200002859,-0.724206142810646,-0.0778404967020569,-0.740388824211509
